geo_id,geo_name,geography_type,parent_metro_code,median_household_income,year
32820,"Memphis, TN-MS-AR",metro,,66401,2024
32900,"Merced, CA",metro,,65510,2024
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",metro,,76527,2024
33124,"Miami-Miami Beach-Kendall, FL",division,33100,71753,2024
33140,"Michigan City-La Porte, IN",metro,,71055,2024
33220,"Midland, MI",metro,,77705,2024
33260,"Midland, TX",metro,,92952,2024
33340,"Milwaukee-Waukesha, WI",metro,,78218,2024
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,,99833,2024
33500,"Minot, ND",metro,,78200,2024
33540,"Missoula, MT",metro,,74989,2024
33660,"Mobile, AL",metro,,58880,2024
33700,"Modesto, CA",metro,,81468,2024
33740,"Monroe, LA",metro,,51660,2024
33780,"Monroe, MI",metro,,77335,2024
33860,"Montgomery, AL",metro,,64010,2024
33874,"Montgomery County-Bucks County-Chester County, PA",division,37980,117678,2024
34060,"Morgantown, WV",metro,,64640,2024
34100,"Morristown, TN",metro,,60553,2024
34580,"Mount Vernon-Anacortes, WA",metro,,89263,2024
34620,"Muncie, IN",metro,,58127,2024
34740,"Muskegon-Norton Shores, MI",metro,,65024,2024
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",metro,,66880,2024
34900,"Napa, CA",metro,,111471,2024
34940,"Naples-Marco Island, FL",metro,,90045,2024
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",metro,,85447,2024
35004,"Nassau County-Suffolk County, NY",division,35620,137898,2024
35084,"Newark, NJ",division,35620,105500,2024
35300,"New Haven, CT",metro,,88197,2024
35380,"New Orleans-Metairie, LA",metro,,62655,2024
35614,"New York-Jersey City-White Plains, NY-NJ",division,35620,87995,2024
35620,"New York-Newark-Jersey City, NY-NJ",metro,,99155,2024
35660,"Niles, MI",metro,,65425,2024
35840,"North Port-Bradenton-Sarasota, FL",metro,,80859,2024
35980,"Norwich-New London-Willimantic, CT",metro,,86586,2024
36084,"Oakland-Fremont-Berkeley, CA",division,41860,128560,2024
36100,"Ocala, FL",metro,,61010,2024
36220,"Odessa, TX",metro,,71536,2024
36260,"Ogden, UT",metro,,101203,2024
36420,"Oklahoma City, OK",metro,,72094,2024
36500,"Olympia-Lacey-Tumwater, WA",metro,,96563,2024
36540,"Omaha, NE-IA",metro,,84829,2024
36740,"Orlando-Kissimmee-Sanford, FL",metro,,78533,2024
36780,"Oshkosh-Neenah, WI",metro,,74925,2024
36980,"Owensboro, KY",metro,,68002,2024
37100,"Oxnard-Thousand Oaks-Ventura, CA",metro,,109797,2024
37140,"Paducah, KY-IL",metro,,64160,2024
37340,"Palm Bay-Melbourne-Titusville, FL",metro,,78476,2024
37460,"Panama City-Panama City Beach, FL",metro,,71514,2024
37620,"Parkersburg-Vienna, WV",metro,,57391,2024
37860,"Pensacola-Ferry Pass-Brent, FL",metro,,75967,2024
37900,"Peoria, IL",metro,,71857,2024
37964,"Philadelphia, PA",division,37980,67714,2024
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",metro,,91289,2024
38060,"Phoenix-Mesa-Chandler, AZ",metro,,88301,2024
